Net Pay,Quantity
6790.0,2
132534.0,37
1470.0,3
606984.0,56
1618.0,2
102258.0,57
23460.0,46
406182.0,42
2953356.0,21
777114.0,18
455706.0,54
4099830.0,42
520480.0,10
69104.0,16
400848.0,48
96710.0,10
336536.0,46
47754.0,21
469425.0,55
148014.0,27
282336.0,34
346671.0,39
320728.0,47
20124.0,3
161280.0,21
2047410.0,30
53970.0,1
99316.0,14
79475.0,11
548594.0,86
129084.0,31
550020.0,89
25438.0,7
192418.0,46
764520.0,69
38647.0,7
601456.0,16
84465.0,9
111390.0,79
24586.0,1
3411226.0,91
1616400.0,18
42170.0,2
74291.0,7
1633464.0,36
40535.0,11
380016.0,39
512470.0,70
4832.0,1
15900.0,15
7020.0,9
8838.0,3
29930.0,41
102045.0,15
223680.0,48
453180.0,70
3577464.0,33
335516.0,37
2703816.0,51
28300.0,4
293396.0,41
31120.0,4
116848.0,8
113344.0,22
271986.0,22
463580.0,52
158058.0,18
181506.0,39
400244.0,86
133920.0,62
59592.0,24
42490.0,10
163920.0,10
303918.0,74
250900.0,10
522996.0,6
224875.0,35
20999.0,23
377168.0,88
68180.0,5
1457428.0,28
49104.0,22
2555899.0,41
26112.0,16
273112.0,4
160265.0,35
1996.0,1
12960.0,27
62953.0,11
269595.0,27
30290.0,10
191150.0,50
25744.0,8
24804.0,78
52143.0,21
92900.0,10
12116.0,4
886400.0,80
20420.0,4
63207.0,27
16485.0,21
2557841.0,31
58412.0,17
13980.0,3
3574802.0,77
231935.0,11
73017.0,19
233156.0,44
240678.0,27
94081.0,13
12884.0,4
181496.0,4
28615.0,5
160265.0,35
183150.0,45
30020.0,10
85096.0,11
3313904.0,44
752700.0,30
589170.0,82
154670.0,5
16784.0,16
48105.0,9
20503.0,29
604310.0,14
398160.0,90
128520.0,17
37194.0,6
5228.0,2
5759893.0,43
26124.0,3
33678.0,18
230910.0,30
132540.0,94
8923.0,1
151878.0,51
52686.0,6
1586336.0,32
39650.0,25
1796.0,2
169366.0,19
7278.0,1
200502.0,47
6474.0,1
1422072.0,36
23994.0,6
262480.0,40
3650.0,5
292640.0,40
67648.0,16
119472.0,2
27740.0,10
31091.0,1
3164.0,7
103936.0,32
265434.0,41
38430.0,9
51883.0,13
71960.0,20
622944.0,72
11760.0,24
34952.0,8
92700.0,15
3708762.0,38
189776.0,4
236992.0,46
3276.0,4
38136.0,4
242730.0,87
19434.0,6
723664.0,16
2792.0,8
54640.0,40
54672.0,34
89460.0,28
6475203.0,49
5168560.0,53
209348.0,4
78514.0,74
26860.0,10
47230.0,10
1134166.0,22
2767.0,1
49920.0,65
19113.0,1
11956.0,7
8002.0,2
283212.0,36
19065.0,15
40715.0,5
24232.0,8
6186.0,1
1788066.0,46
32380.0,10
103937.0,23
1237665.0,15
174252.0,26
122586.0,3
43036.0,58
63670.0,10
16392.0,1
20100.0,3
195754.0,26
77004.0,9
2614725.0,25
107730.0,14
104688.0,18
644329.0,83
548928.0,72
503360.0,52
184382.0,22
41112.0,8
17974.0,86
18800.0,2
40476.0,6
187700.0,25
498626.0,58
18170.0,5
19728.0,16
141603.0,33
126802.0,13
175047.0,19
95575.0,25
11326.0,14
50422.0,17
